date,Content,Likes,Retweet
2022-12-30 18:32:32+00:00,I call upon the government to respect the sentiments of the Jain community and declare Sikharji as a religious place and not merely a tourist site. #SaveSikharji,1011,309
2022-12-30 11:32:11+00:00,"A bride from Kerala, Shilpa Sreekumar, a mechanical engineer, played 'Chandamelam' in her marriage function at Guruvayoor Temple. Her father, a Chenda master (in green), joins in at the end. The groom (in maroon) also enjoys the vibes.👍for IndianWomen! 👏
https://t.co/jnWz0rbQrZ",895,53
2022-12-30 11:16:07+00:00,"Witty but sharply-observed &amp; pointed piece about the ""tyranny of the Indian Uncle"" by @BShrayana : https://t.co/KikHLDviY4 
""Show me a hard-working, financially independent professional woman &amp;I will show you an insecure Indian Uncle who resents her.""",189,40
2022-12-30 09:57:10+00:00,"Though the amounts available are modest, it’s a reminder yet again of the valuable potential the MPLAD Scheme has to further our interests in creating a more accessible &amp; 
inclusive world for people with disabilities.",139,14
2022-12-30 09:52:40+00:00,"I’m gratified by the support I’ve received for my observation that we as a nation serve people with disabilities poorly. https://t.co/mmk2YzccZE Amongst multiple priorities,I’ve allocated 53 lakh rupees in the last 8 months for MPLADS projects in Thiruvananthapuram to help pwd. https://t.co/BQCuSJLZEr",319,43
2022-12-30 05:54:06+00:00,Pictures of the accident scene are truly dismaying https://t.co/bWO0MCGkxK,1199,62
2022-12-30 05:52:36+00:00,Wishing ⁦@RishabhPant17⁩ a speedy and complete recovery from his injuries after a horrific car accident. All of India wants to see you back at your best! soon https://t.co/Aem75m67Xh,10804,313
2022-12-30 05:38:11+00:00,Mourning the GOAL — the Greatest of All-time Legends. RIP #Pele https://t.co/FwKdGMkfQx,2510,110
2022-12-30 03:25:09+00:00,"इंसान कितना भी बड़ा हो जाए, माँ की जरूरत रहती ही है। अत्यंत दुखद समाचार। ॐ शांति 🙏 https://t.co/BCasSMP367",13044,327
2022-12-29 20:27:52+00:00,"माँएं हैं तो दुआएं हैं। 
प्रधानमंत्री मोदी जी की माता जी के जल्द स्वास्थ्य लाभ की कामना एवं प्रार्थना करता हूँ।",2772,96
2022-12-29 12:34:20+00:00,This meme about ⁦@IamSanjuSamson⁩ is going around in Kerala. I have to say I agree with it. What more does he have to do to get a deserved place in India’s ODI XI? ⁦@BCCI⁩ https://t.co/w4eL7kSfEd,16308,1750
2022-12-29 09:22:44+00:00,"For those who missed the two earlier events at ⁦@ITCSonar⁩ and the SaturdayClub, here’s your last chance this year to hear me in Kolkata on the subject of #AmbedkarALife! ⁦@oxfordbookstore⁩ 3.30pm https://t.co/YApKpuEJdh",237,22
2022-12-29 07:51:43+00:00,"Indeed! It originally appeared in The Cricketer International, edited by Christopher Martin-Jenkins, in 1982.",264,28
2022-12-29 03:28:44+00:00,"चिड़िया नाल मैं बाज लड़ावां, 
गीदड़ां नू मैं शेर बणावां, 
सवा लाख ते एक लड़ावां,
 तां गोबिंदसिंह नाम धरावां
#GuruGobindSinghJayanti https://t.co/i7M3UynzF6",1829,132
2022-12-28 19:10:58+00:00,"Satyameva Jayate!

https://t.co/MDnNAp4AqR",621,89
2022-12-28 07:27:50+00:00,"@nesoron @Chellaney @KanwalSibal Thought-provoking thread, @nesoron. Thanks",5,3
2022-12-28 03:14:35+00:00,"A superb essay on narratives of Partition by @parul_sehgal beautifully and movingly describes the various ways in which memories of that colossal tragedy are sought to be evoked, preserved &amp; recorded: https://t.co/VjxoapUA2Y",257,37
